timestamp,http_code,latency_seconds
1788005852.423441000,200,0.001989
1788005852.675114000,200,0.002550
1788005852.921915000,200,0.002345
1788005853.170954000,200,0.002362
1788005853.414848000,200,0.001651
1788005853.646678000,200,0.001752
1788005853.895784000,200,0.002546
1788005854.147506000,200,0.003169
1788005854.397522000,200,0.002112
1788005854.653302000,200,0.003927
1788005854.908236000,200,0.002863
1788005855.162412000,200,0.002494
1788005855.414520000,200,0.002081
1788005855.662915000,200,0.002122
1788005855.909066000,200,0.003204
1788005856.161297000,200,0.002963
1788005856.407545000,200,0.001728
1788005856.658000000,200,0.003214
1788005856.907825000,200,0.001787
1788005857.161265000,200,0.003154
1788005857.410416000,200,0.001660
1788005857.650553000,200,0.002259
1788005857.903514000,200,0.002458
1788005858.159841000,200,0.002501
1788005858.406216000,200,0.001281
1788005858.633027000,200,0.001783
1788005858.874551000,200,0.002926
1788005859.121730000,200,0.001948
1788005859.365973000,200,0.002185
1788005859.620836000,200,0.001788
1788005859.870270000,200,0.002588
1788005860.122029000,200,0.003497
1788005860.372177000,200,0.002920
1788005860.620470000,200,0.002780
1788005860.875232000,200,0.002656
1788005861.130882000,200,0.002471
1788005861.387688000,200,0.002748
1788005861.634930000,200,0.001544
1788005861.875524000,200,0.003126
1788005862.129737000,200,0.004026
1788005862.383652000,200,0.002097
1788005862.631144000,200,0.003306
1788005862.887570000,200,0.002100
1788005863.138407000,200,0.003030
1788005863.382975000,200,0.001319
1788005863.614256000,200,0.001965
1788005863.856364000,200,0.002465
1788005864.106052000,200,0.002647
1788005864.359162000,200,0.003173
1788005864.605045000,200,0.002506
1788005864.854671000,200,0.003120
1788005865.107724000,200,0.002605
1788005865.360156000,200,0.002517
1788005865.612917000,200,0.002284
1788005865.866874000,200,0.001672
1788005866.102673000,200,0.001246
1788005866.342623000,200,0.001692
1788005866.580303000,200,0.001184
1788005866.823221000,200,0.002750
1788005867.074839000,200,0.001897
1788005867.326533000,200,0.001908
1788005867.569960000,200,0.002788
1788005867.822570000,200,0.001761
1788005868.066358000,200,0.001822
1788005868.306870000,200,0.001524
1788005868.535970000,200,0.001731
1788005868.772578000,200,0.002247
1788005869.022393000,200,0.001376
1788005869.271358000,200,0.003397
1788005869.528936000,200,0.003383
1788005869.779640000,200,0.002788
1788005870.033111000,200,0.003129
1788005870.283742000,200,0.001560
1788005870.534223000,200,0.002297
1788005870.784923000,200,0.002594
1788005871.031843000,200,0.004837
1788005871.283396000,200,0.001415
1788005871.512444000,200,0.001882
1788005871.753590000,200,0.001564
1788005872.001713000,200,0.002650
1788005872.251547000,200,0.002013
1788005872.498339000,200,0.003056
1788005872.754028000,200,0.002158
1788005873.002470000,200,0.002607
1788005873.252584000,200,0.001668
1788005873.485359000,200,0.001918
1788005873.720495000,200,0.003557
1788005873.972950000,200,0.002668
1788005874.225703000,200,0.003032
1788005874.481817000,200,0.001800
1788005874.730802000,200,0.002449
1788005874.979691000,200,0.002851
1788005875.229341000,200,0.002070
1788005875.479824000,200,0.002657
1788005875.719478000,200,0.002671
1788005875.966787000,200,0.002116
1788005876.213254000,200,0.001024
1788005876.445738000,200,0.001180
1788005876.683502000,200,0.003072
1788005876.931753000,200,0.003493
1788005877.183600000,200,0.003041
1788005877.434883000,200,0.002344
1788005877.680205000,200,0.001867
1788005877.920507000,200,0.002949
1788005878.174257000,200,0.002220
1788005878.423862000,200,0.001510
1788005878.654266000,200,0.002586
1788005878.903622000,200,0.001982
1788005879.149173000,200,0.001723
1788005879.401563000,200,0.002409
1788005879.654865000,200,0.002099
1788005879.907305000,200,0.002697
1788005880.139137000,200,0.001798
1788005880.375093000,200,0.002790
1788005880.621224000,200,0.003789
1788005880.875999000,200,0.002570
1788005881.121476000,200,0.001932
1788005881.375260000,200,0.003652
1788005881.629196000,200,0.002371
1788005881.878268000,200,0.002412
1788005882.130723000,200,0.001866
1788005882.380489000,200,0.002343
1788005882.637234000,200,0.003633
1788005882.891535000,200,0.001829
1788005883.136959000,200,0.003255
1788005883.384823000,200,0.002274
1788005883.612657000,200,0.001790
1788005883.858893000,200,0.001937
1788005884.113419000,200,0.002601
1788005884.365786000,200,0.002886
1788005884.620483000,200,0.002628
1788005884.874228000,200,0.002648
1788005885.126024000,200,0.002277
1788005885.378142000,200,0.002277
1788005885.623366000,200,0.003213
1788005885.877999000,200,0.001784
1788005886.128028000,200,0.002330
1788005886.379061000,200,0.002656
1788005886.632274000,200,0.001817
1788005886.864481000,200,0.002348
1788005887.100755000,200,0.001895
1788005887.344650000,200,0.002215
1788005887.589722000,200,0.002470
1788005887.848452000,200,0.002180
1788005888.104198000,200,0.003051
1788005888.349259000,200,0.001913
1788005888.580062000,200,0.002785
1788005888.821854000,200,0.003237
1788005889.068158000,200,0.001608
1788005889.315866000,200,0.002253
1788005889.569905000,200,0.003039
1788005889.822132000,200,0.002319
1788005890.071225000,200,0.002905
1788005890.321079000,200,0.002308
1788005890.575007000,200,0.003036
1788005890.830043000,200,0.002967
1788005891.082266000,200,0.002365
1788005891.331672000,200,0.001571
1788005891.580327000,200,0.002264
1788005891.832193000,200,0.002503
1788005892.089561000,200,0.002212
1788005892.342401000,200,0.002375
1788005892.596706000,200,0.001487
1788005892.842176000,200,0.003306
1788005893.091857000,200,0.002919
1788005893.339885000,200,0.001492
1788005893.570928000,200,0.001949
1788005893.813191000,200,0.003197
1788005894.064751000,200,0.002775
1788005894.324115000,200,0.002323
1788005894.577032000,200,0.003096
1788005894.826966000,200,0.002929
1788005895.081448000,200,0.002112
1788005895.330344000,200,0.003381
1788005895.585453000,200,0.001852
1788005895.832755000,200,0.003026
1788005896.084830000,200,0.002181
1788005896.337407000,200,0.002125
1788005896.590117000,200,0.002596
